FECHA_EMISION	COMPROBANTE	NUMERO_COMPROBANTE	IDENTIFICACION_RECEPTOR	RAZON_SOCIAL	CLAVE_ACCESO	VALOR_TOTAL
26/02/2026	Factura	001-001-000000153	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	2602202601170931416300120010010000001536145933211	480
24/02/2026	Factura	001-001-000000152	1792851432001	ASOCIACION DE CUENTAS EN PARTICIPACION LUIS LEONARDO TITO VELASTEGUI PROCAR	2402202601170931416300120010010000001529107261016	110
19/02/2026	Factura	001-001-000000151	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	1902202601170931416300120010010000001519575198910	360
13/02/2026	Factura	001-001-000000150	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	1302202601170931416300120010010000001506566453418	480
07/02/2026	Factura	001-001-000000149	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	0702202601170931416300120010010000001498814206319	960
02/02/2026	Factura	001-001-000000148	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	0202202601170931416300120010010000001489842079711	876
23/01/2026	Factura	001-001-000000146	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	2301202601170931416300120010010000001468196300216	96
17/01/2026	Factura	001-001-000000144	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	1701202601170931416300120010010000001449369061311	900
17/01/2026	Factura	001-001-000000145	1792851432001	ASOCIACION DE CUENTAS EN PARTICIPACION LUIS LEONARDO TITO VELASTEGUI PROCAR	1701202601170931416300120010010000001454629908617	172.5
09/01/2026	Factura	001-001-000000143	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	0901202601170931416300120010010000001439609804919	672
02/01/2026	Factura	001-001-000000142	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	0201202601170931416300120010010000001424845067918	684
